,id_obra,ano,genero,ADJ,ADV,CARD,CJ,CL,CN,DA,DEM,DFR,DGT,DGTR,DM,EADR,EOE,EXC,GER,IA,IND,INF,INT,ITJ,LADV1,LADV2,LADV3,LADV4,LADV5,LADV6,LADV7,LCJ1,LCJ2,LCJ3,LCJ4,LCN1,LCN2,LDEM1,LDEM2,LDFR1,LDFR2,LDM1,LDM2,LITJ1,LITJ2,LITJ3,LPREP1,LPREP2,LPREP3,LPREP4,LPRS1,LPRS2,LQD1,LQD2,LREL1,LREL2,LTR,MGT,MTH,NP,ORD,PADR,PL,PNM,PNT,POSS,PP,PPA,PPT,PREP,PREPDA,PREPDEM,PRS,QNT,REL,STT,SYB,UM,V,VAUX,WD
160,160,1866,Tale,755,367,31,469,158,1927,1315,112,0,1,1,0,0,0,0,67,2,17,103,7,0,8,8,8,0,0,0,0,13,13,4,0,0,0,0,0,0,0,0,0,0,0,0,10,8,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,232,1580,103,0,170,5,1163,0,0,80,88,154,1,0,218,767,4,0
161,161,1888,Novel,442,528,36,400,240,1489,1014,104,0,1,0,0,0,0,1,107,3,25,213,11,9,19,19,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,3,0,0,0,0,0,0,0,1,0,1,0,6,4,0,507,1774,98,0,174,18,1184,0,0,128,56,136,23,0,236,883,9,2
162,162,1900,Tale,493,401,24,548,92,1690,1310,65,0,0,0,2,0,0,0,105,0,2,62,0,24,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,575,1508,122,0,206,0,1345,0,0,62,67,162,5,0,206,754,0,0
163,163,1900,Tale,581,405,30,503,257,1664,996,90,0,23,2,1,0,0,1,97,5,11,162,7,6,23,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,5,0,11,2,0,367,1769,153,0,210,23,1087,0,0,108,40,100,12,0,246,902,15,1
164,164,1900,Tale,516,351,35,482,234,1783,1068,107,0,8,0,0,0,0,0,65,2,12,165,6,8,12,12,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,6,2,0,0,0,0,0,0,6,0,2,0,10,0,0,374,1557,129,0,272,21,1305,0,0,99,40,124,0,0,294,816,14,8
165,165,1865,Poetry,513,356,24,652,216,1796,1224,106,0,13,19,0,0,0,2,78,7,18,187,37,18,19,19,10,0,0,0,0,10,9,3,0,0,0,0,0,0,0,0,0,0,0,0,13,11,1,0,0,0,0,0,0,0,13,0,0,0,1,0,0,403,1556,82,6,144,10,1048,0,0,81,66,232,2,0,104,868,2,0
166,166,1872,Poetry,459,410,17,557,295,1761,1021,91,0,12,10,0,0,0,1,57,4,22,266,51,25,14,17,7,0,0,0,0,11,11,3,0,0,0,0,0,0,0,0,0,0,1,0,12,10,1,0,0,0,0,0,0,0,55,0,1,0,5,1,0,256,1787,195,0,126,8,935,1,0,155,52,184,2,0,127,943,2,0
167,167,1913,Tale,387,443,26,563,344,1765,1213,26,0,0,0,0,0,0,2,89,21,16,243,0,2,19,19,4,0,0,0,0,14,14,2,0,0,0,0,0,0,0,0,0,0,0,0,19,21,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,216,1601,60,2,199,4,1266,0,0,98,24,113,16,0,168,956,0,0
168,168,1963,Short story,419,445,48,504,263,1641,1137,58,2,6,0,0,2,2,2,38,6,14,291,16,6,12,12,6,0,0,0,0,13,13,1,0,0,0,0,0,0,0,0,0,0,0,0,19,19,1,0,0,0,0,0,0,0,0,0,2,0,8,0,0,488,1421,108,0,166,25,1362,0,0,96,54,196,38,0,127,873,12,3
169,169,1963,Short story,475,401,41,508,280,1712,1150,59,2,1,0,0,0,3,1,42,12,18,226,9,2,24,25,6,0,0,0,0,7,7,1,0,0,0,2,2,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,1,0,2,0,10,1,0,418,1443,82,1,188,18,1309,0,0,89,64,189,3,0,179,906,12,16
170,170,1913,Tale,310,393,64,473,236,1827,1217,67,0,13,0,0,0,0,0,74,11,20,270,4,10,8,8,4,0,0,0,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,20,19,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,346,1581,51,0,201,17,1317,0,0,66,63,169,14,10,154,909,10,2
171,171,1963,Short story,516,440,31,478,278,1699,1119,94,1,2,0,0,0,3,2,50,1,18,313,9,14,18,19,3,0,0,0,0,16,16,3,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,388,1504,132,1,171,26,1295,0,0,61,53,179,7,0,120,849,14,0
172,172,1963,Short story,292,510,63,450,388,1632,1078,53,0,4,0,0,0,0,0,35,8,25,320,12,12,13,14,4,0,0,0,0,10,11,3,0,0,0,0,0,0,0,0,0,0,0,0,16,22,0,0,0,0,0,0,0,0,0,0,4,0,14,0,0,258,1656,110,0,141,14,1178,0,0,127,42,201,3,0,147,1095,9,0
173,173,2000,Tale,271,482,12,505,332,1756,1173,128,0,0,6,0,0,0,0,86,2,37,242,10,0,16,16,2,0,0,0,0,23,23,6,0,0,0,0,0,0,0,0,0,0,0,0,25,25,4,4,0,0,0,0,0,0,0,2,0,0,6,0,0,105,1206,195,0,122,16,1118,0,0,244,42,244,2,0,326,1156,14,0
174,174,1946,Tale,507,694,18,519,345,1377,877,112,0,0,2,0,0,0,0,67,6,32,321,13,9,34,34,5,0,0,0,0,16,16,8,0,0,0,0,0,0,0,0,0,0,0,0,11,9,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,339,1660,139,1,165,20,1068,0,0,156,81,178,4,0,141,970,8,0
175,175,1991,Short story,560,320,13,422,282,1787,1092,69,0,3,6,0,0,5,0,87,3,10,227,8,5,13,13,1,0,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,27,25,3,3,0,0,0,0,0,0,1,0,1,0,8,0,0,569,1364,91,1,139,17,1375,0,0,58,41,150,1,0,239,912,10,0
176,176,1959,Chronicle,456,606,50,444,216,1499,1034,100,0,4,0,0,0,0,1,52,6,26,186,15,24,23,25,4,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,3,0,0,0,0,0,0,0,13,0,1,0,13,0,0,310,2164,46,0,210,17,1046,0,0,129,65,90,10,0,173,865,7,0
177,177,1971,Tale,446,441,14,513,326,1637,1160,37,0,4,0,1,0,0,0,97,4,29,179,8,2,22,23,10,0,0,0,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,25,22,4,4,0,0,0,0,1,1,0,0,0,0,4,0,0,71,1688,32,1,267,17,1220,0,0,161,23,245,0,0,208,995,13,1
178,178,1976,Tale,414,489,44,541,322,1589,1111,47,0,3,1,0,0,0,1,102,9,21,193,4,15,23,24,8,0,0,0,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,18,18,3,3,0,0,0,0,0,0,0,0,0,0,8,1,0,81,1612,72,0,214,31,1232,0,0,215,69,218,1,0,196,986,23,0
179,179,1976,Tale,398,452,25,546,328,1648,1060,60,0,2,0,0,0,0,0,108,4,28,241,4,0,19,19,4,0,0,0,0,19,19,5,0,0,0,1,1,0,0,0,0,0,0,0,26,26,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,116,1477,202,0,238,9,1359,0,0,217,64,222,2,0,168,852,3,0
180,180,1971,Tale,477,439,19,492,253,1715,1146,43,0,24,0,0,0,3,0,81,6,27,204,0,0,17,18,4,0,0,0,0,12,13,3,0,0,0,0,0,0,0,0,0,0,0,0,30,28,3,2,0,0,0,0,0,0,0,0,4,0,9,0,0,164,1465,62,0,246,20,1408,0,0,144,57,244,4,10,226,841,12,0
181,181,1978,Tale,328,619,6,859,326,1428,960,88,0,6,0,0,0,0,0,74,6,44,268,9,3,6,6,1,0,0,0,0,23,23,3,0,0,0,3,3,0,0,0,0,0,0,0,33,29,4,0,0,0,0,0,0,0,0,0,1,0,9,0,0,214,1189,131,1,156,38,1035,0,0,296,64,341,39,0,178,1112,14,0
182,182,1737,Drama,270,583,20,462,337,1111,587,177,0,0,2,0,1,0,2,44,5,14,229,22,38,6,8,2,0,0,0,0,23,23,1,0,0,0,1,1,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,846,2079,179,0,104,8,738,0,0,166,52,244,379,0,71,1114,3,0
183,183,1941,Novel,366,448,107,503,258,1766,1191,110,6,52,0,0,0,0,0,162,3,44,245,8,6,12,12,3,2,0,0,0,12,12,1,0,0,0,3,3,0,0,0,0,0,0,0,27,28,3,1,0,0,0,0,0,0,0,0,12,0,16,0,0,246,1510,60,0,146,35,1190,0,0,62,98,168,14,0,82,926,14,0
184,184,2004,Tale,408,541,30,520,214,1767,1001,163,0,10,0,0,0,0,0,10,0,30,286,0,0,40,40,20,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,265,1542,91,0,61,30,1062,0,0,51,81,265,0,0,326,1031,30,0
185,185,2005,Tale,354,919,112,467,370,1387,806,129,0,0,0,0,0,0,0,0,0,112,306,0,16,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1822,64,0,209,16,790,0,0,306,64,112,0,0,145,1370,16,0
